Employee_ID,Destination_Region,Trip_Start,Trip_End
EMP_257,LATAM,2025-09-14 21:31:00,2025-09-20 21:31:00
EMP_010,APAC,2025-11-29 18:47:00,2025-12-06 18:47:00
EMP_426,LATAM,2025-09-20 11:50:00,2025-09-26 11:50:00
EMP_171,APAC,2025-05-02 10:19:00,2025-05-07 10:19:00
EMP_180,EMEA,2025-04-17 13:04:00,2025-04-21 13:04:00
EMP_309,LATAM,2025-04-20 07:35:00,2025-04-27 07:35:00
EMP_232,EMEA,2025-01-27 09:14:00,2025-01-30 09:14:00
EMP_257,LATAM,2025-04-18 20:29:00,2025-04-22 20:29:00
EMP_259,EMEA,2025-05-04 15:41:00,2025-05-09 15:41:00
EMP_405,LATAM,2025-08-30 16:25:00,2025-09-05 16:25:00
EMP_336,APAC,2025-10-11 09:57:00,2025-10-17 09:57:00
EMP_116,EMEA,2025-04-10 04:07:00,2025-04-13 04:07:00
EMP_306,APAC,2025-10-01 07:39:00,2025-10-07 07:39:00
EMP_447,APAC,2025-07-01 01:07:00,2025-07-04 01:07:00
EMP_146,EMEA,2025-03-02 01:49:00,2025-03-08 01:49:00
EMP_014,LATAM,2025-10-29 02:50:00,2025-11-04 02:50:00
EMP_042,LATAM,2025-09-30 00:04:00,2025-10-05 00:04:00
EMP_406,EMEA,2025-04-15 08:23:00,2025-04-20 08:23:00
EMP_057,NA,2025-07-28 18:56:00,2025-08-03 18:56:00
EMP_328,APAC,2025-11-27 20:38:00,2025-12-01 20:38:00
EMP_324,NA,2025-06-24 04:10:00,2025-06-29 04:10:00
EMP_293,LATAM,2025-10-29 08:02:00,2025-11-02 08:02:00
EMP_177,EMEA,2025-06-23 13:58:00,2025-06-29 13:58:00
EMP_324,NA,2025-05-11 17:32:00,2025-05-15 17:32:00
EMP_151,APAC,2025-05-25 19:03:00,2025-05-31 19:03:00
EMP_130,EMEA,2025-01-26 15:59:00,2025-01-31 15:59:00
EMP_165,EMEA,2025-03-14 17:01:00,2025-03-21 17:01:00
EMP_309,LATAM,2025-11-06 06:55:00,2025-11-11 06:55:00
EMP_018,NA,2025-03-31 22:01:00,2025-04-06 22:01:00
EMP_361,LATAM,2025-11-19 23:11:00,2025-11-24 23:11:00
EMP_063,EMEA,2025-04-07 20:01:00,2025-04-11 20:01:00
EMP_063,EMEA,2025-05-26 08:23:00,2025-05-31 08:23:00
EMP_314,LATAM,2025-03-02 18:43:00,2025-03-09 18:43:00
EMP_065,EMEA,2025-08-17 20:27:00,2025-08-22 20:27:00
EMP_450,EMEA,2025-05-12 12:02:00,2025-05-15 12:02:00
EMP_083,LATAM,2025-08-21 22:54:00,2025-08-25 22:54:00
EMP_423,EMEA,2025-01-19 15:51:00,2025-01-24 15:51:00
EMP_038,LATAM,2025-02-11 15:03:00,2025-02-16 15:03:00
EMP_137,LATAM,2025-11-22 09:15:00,2025-11-29 09:15:00
EMP_443,APAC,2025-10-30 11:26:00,2025-11-04 11:26:00
EMP_024,LATAM,2025-10-17 16:40:00,2025-10-21 16:40:00
EMP_423,EMEA,2025-03-26 12:22:00,2025-04-01 12:22:00
EMP_387,EMEA,2025-04-15 01:15:00,2025-04-18 01:15:00
EMP_189,EMEA,2025-08-29 04:49:00,2025-09-04 04:49:00
EMP_136,APAC,2025-06-13 16:36:00,2025-06-18 16:36:00
EMP_421,LATAM,2025-06-24 08:41:00,2025-06-30 08:41:00
EMP_211,NA,2025-12-08 09:54:00,2025-12-15 09:54:00
EMP_327,NA,2025-06-17 13:06:00,2025-06-21 13:06:00
EMP_349,EMEA,2025-04-09 02:24:00,2025-04-16 02:24:00
EMP_147,LATAM,2025-02-12 01:56:00,2025-02-16 01:56:00
EMP_214,NA,2025-05-08 00:07:00,2025-05-13 00:07:00
EMP_449,EMEA,2025-01-27 06:46:00,2025-02-01 06:46:00
EMP_045,EMEA,2025-10-17 21:04:00,2025-10-23 21:04:00
EMP_355,APAC,2025-06-21 01:41:00,2025-06-27 01:41:00
EMP_352,APAC,2025-08-14 10:44:00,2025-08-18 10:44:00
EMP_069,LATAM,2025-12-13 04:50:00,2025-12-20 04:50:00
EMP_040,APAC,2025-03-22 16:59:00,2025-03-26 16:59:00
EMP_168,LATAM,2025-11-16 17:43:00,2025-11-20 17:43:00
EMP_262,EMEA,2025-11-19 09:22:00,2025-11-26 09:22:00
EMP_345,NA,2025-08-12 09:39:00,2025-08-16 09:39:00
EMP_297,NA,2025-02-22 04:17:00,2025-02-25 04:17:00
EMP_036,EMEA,2025-12-09 18:02:00,2025-12-15 18:02:00
EMP_335,EMEA,2025-09-09 05:43:00,2025-09-14 05:43:00
EMP_373,EMEA,2025-06-10 03:47:00,2025-06-17 03:47:00
EMP_273,LATAM,2025-10-03 04:20:00,2025-10-08 04:20:00
EMP_097,NA,2025-03-23 04:06:00,2025-03-27 04:06:00
EMP_106,EMEA,2025-02-17 23:59:00,2025-02-21 23:59:00
EMP_120,APAC,2025-06-06 05:03:00,2025-06-11 05:03:00
EMP_122,EMEA,2025-08-06 17:42:00,2025-08-10 17:42:00
EMP_154,APAC,2025-10-01 03:07:00,2025-10-06 03:07:00
EMP_048,LATAM,2025-05-18 16:54:00,2025-05-21 16:54:00
EMP_109,NA,2025-05-18 08:54:00,2025-05-24 08:54:00
EMP_289,APAC,2025-06-09 03:02:00,2025-06-15 03:02:00
EMP_087,EMEA,2025-09-12 10:43:00,2025-09-17 10:43:00
EMP_430,APAC,2025-02-23 03:01:00,2025-02-26 03:01:00
EMP_363,APAC,2025-04-18 23:26:00,2025-04-22 23:26:00
EMP_004,NA,2025-10-25 12:39:00,2025-10-31 12:39:00
EMP_009,EMEA,2025-11-09 12:48:00,2025-11-13 12:48:00
EMP_408,APAC,2025-10-15 00:16:00,2025-10-20 00:16:00
EMP_335,EMEA,2025-01-22 01:43:00,2025-01-26 01:43:00
EMP_327,NA,2025-01-05 21:09:00,2025-01-11 21:09:00
EMP_139,NA,2025-02-02 21:43:00,2025-02-06 21:43:00
EMP_436,NA,2025-08-16 00:01:00,2025-08-20 00:01:00
EMP_224,APAC,2025-06-17 01:00:00,2025-06-23 01:00:00
EMP_044,NA,2025-08-03 02:07:00,2025-08-09 02:07:00
EMP_185,EMEA,2025-03-17 14:06:00,2025-03-23 14:06:00
EMP_390,NA,2025-07-14 10:30:00,2025-07-21 10:30:00
EMP_286,LATAM,2025-10-24 03:05:00,2025-10-29 03:05:00
EMP_443,APAC,2025-10-07 12:31:00,2025-10-11 12:31:00
EMP_253,APAC,2025-04-15 06:23:00,2025-04-21 06:23:00
EMP_373,EMEA,2025-12-02 03:25:00,2025-12-08 03:25:00
EMP_345,NA,2025-12-29 13:57:00,2026-01-04 13:57:00
EMP_405,LATAM,2025-09-30 12:23:00,2025-10-07 12:23:00
EMP_152,EMEA,2025-10-29 21:41:00,2025-11-03 21:41:00
EMP_176,EMEA,2025-03-20 15:15:00,2025-03-25 15:15:00
EMP_409,APAC,2025-10-20 22:43:00,2025-10-27 22:43:00
EMP_200,NA,2025-01-03 05:46:00,2025-01-06 05:46:00
EMP_101,EMEA,2025-11-28 04:16:00,2025-12-04 04:16:00
EMP_123,EMEA,2025-08-10 08:54:00,2025-08-16 08:54:00
EMP_249,LATAM,2025-04-08 10:07:00,2025-04-15 10:07:00
EMP_251,NA,2025-05-01 18:57:00,2025-05-06 18:57:00
EMP_017,NA,2025-07-18 03:24:00,2025-07-25 03:24:00
EMP_218,LATAM,2025-03-15 13:51:00,2025-03-21 13:51:00
EMP_135,NA,2025-09-10 19:49:00,2025-09-14 19:49:00
EMP_085,NA,2025-04-10 09:18:00,2025-04-16 09:18:00
EMP_070,NA,2025-10-26 17:09:00,2025-10-30 17:09:00
EMP_232,EMEA,2025-02-22 23:44:00,2025-02-28 23:44:00
EMP_112,APAC,2025-11-07 20:33:00,2025-11-13 20:33:00
EMP_404,LATAM,2025-09-06 07:17:00,2025-09-10 07:17:00
EMP_001,NA,2025-11-06 12:20:00,2025-11-11 12:20:00
EMP_448,LATAM,2025-07-17 12:50:00,2025-07-22 12:50:00
EMP_220,NA,2025-03-07 09:49:00,2025-03-11 09:49:00
EMP_197,NA,2025-03-05 01:10:00,2025-03-10 01:10:00
EMP_196,LATAM,2025-04-06 22:53:00,2025-04-10 22:53:00
EMP_226,APAC,2025-09-11 17:27:00,2025-09-16 17:27:00
EMP_045,EMEA,2025-03-13 03:45:00,2025-03-19 03:45:00
EMP_220,NA,2025-08-17 00:20:00,2025-08-21 00:20:00
EMP_284,NA,2025-07-26 11:21:00,2025-08-01 11:21:00
EMP_152,EMEA,2025-02-08 17:39:00,2025-02-14 17:39:00
EMP_185,EMEA,2025-08-17 10:45:00,2025-08-23 10:45:00
EMP_009,EMEA,2025-02-18 04:13:00,2025-02-24 04:13:00
EMP_217,APAC,2025-10-18 22:18:00,2025-10-22 22:18:00
EMP_262,EMEA,2025-05-27 23:08:00,2025-06-01 23:08:00
EMP_358,APAC,2025-11-13 13:37:00,2025-11-17 13:37:00
EMP_062,APAC,2025-01-08 05:20:00,2025-01-14 05:20:00
EMP_086,LATAM,2025-09-27 18:53:00,2025-09-30 18:53:00
EMP_262,EMEA,2025-09-19 05:37:00,2025-09-24 05:37:00
EMP_081,APAC,2025-07-04 18:28:00,2025-07-07 18:28:00
EMP_440,NA,2025-01-07 22:44:00,2025-01-12 22:44:00
EMP_115,APAC,2025-08-21 07:53:00,2025-08-27 07:53:00
EMP_062,APAC,2025-02-07 08:30:00,2025-02-13 08:30:00
EMP_005,NA,2025-09-24 15:19:00,2025-09-29 15:19:00
EMP_327,NA,2025-10-14 03:47:00,2025-10-18 03:47:00
