Transaction_ID,Employee_ID,Department,Region,Card_Tier,Single_Txn_Limit,Transaction_Timestamp,Amount_USD,Merchant_Name,MCC,Injected_Anomaly,System_Audit_Flag,R5_Reason,Travel_Registry_Status
TXN_000001,EMP_257,Software Engineering,LATAM,Tier_2_Standard,3000.0,2025-09-15 21:31:00,40.5,London Tavern,5812,,CLEAN,,
TXN_000002,EMP_010,Field Sales,APAC,Tier_1_Exec,5000.0,2025-12-01 18:47:00,205.66,Tokyo Dining Corp,5812,,CLEAN,,
TXN_000003,EMP_149,Field Sales,,Tier_1_Exec,5000.0,2025-03-25 20:48:00,298.16,AWS Cloud Services,4816,,CLEAN,,
TXN_000004,EMP_167,HR & Recruitment,APAC,Tier_1_Exec,5000.0,2025-05-06 03:42:00,93.81,Global Logistics Tech,5999,,CLEAN,,
TXN_000005,EMP_426,Software Engineering,LATAM,Tier_2_Standard,3000.0,2025-09-21 11:50:00,21.03,London Tavern,5812,,CLEAN,,APPROVED_BY_TRAVEL_REGISTRY
TXN_000006,EMP_302,Field Sales,EMEA,Tier_1_Exec,5000.0,2025-10-19 14:22:00,31.84,Staples Corp,5999,,CLEAN,,
TXN_000007,EMP_203,Software Engineering,EMEA,Tier_2_Standard,3000.0,2025-08-14 22:26:00,18.13,Lyft Ride,4111,,CLEAN,,
TXN_000008,EMP_171,Software Engineering,APAC,Tier_2_Standard,3000.0,2025-05-03 10:19:00,140.73,Local Steakhouse,5812,,CLEAN,,APPROVED_BY_TRAVEL_REGISTRY
TXN_000009,EMP_180,Corporate Marketing,EMEA,Tier_2_Standard,3000.0,2025-04-18 13:04:00,540.72,Marriott International,7011,,CLEAN,,
TXN_000010,EMP_309,Software Engineering,LATAM,Tier_2_Standard,3000.0,2025-04-22 07:35:00,90.03,Bistro Hub,5812,,CLEAN,,
TXN_000011,EMP_387,Software Engineering,EMEA,Tier_2_Standard,3000.0,2025-11-23 21:11:00,12.88,Amazon Business,5999,,CLEAN,,
TXN_000012,EMP_443,Travel & Executive Admin,APAC,Tier_1_Exec,5000.0,2025-08-19 04:55:00,780.44,Euro Lodging,7011,,CLEAN,,
TXN_000013,EMP_227,Software Engineering,EMEA,Tier_2_Standard,3000.0,2025-08-09 12:10:00,126.54,Uber Inc,4111,,CLEAN,,
TXN_000014,EMP_181,Corporate Marketing,,Tier_1_Exec,5000.0,2025-02-24 00:34:00,39.73,NYC Transit,4111,,CLEAN,,
TXN_000015,EMP_232,Field Sales,EMEA,Tier_1_Exec,5000.0,2025-01-28 09:14:00,23.04,Tokyo Dining Corp,5812,,CLEAN,,
TXN_000016,EMP_315,Software Engineering,EMEA,Tier_2_Standard,3000.0,2025-10-07 23:19:00,89.69,AWS Cloud Services,4816,,CLEAN,,
TXN_000017,EMP_231,Field Sales,APAC,Tier_1_Exec,5000.0,2025-05-18 01:43:00,52.59,NYC Transit,4111,,CLEAN,,
TXN_000018,EMP_257,Software Engineering,LATAM,Tier_2_Standard,3000.0,2025-04-20 20:29:00,58.36,London Tavern,5812,,CLEAN,,APPROVED_BY_TRAVEL_REGISTRY
TXN_000019,EMP_259,Field Sales,EMEA,Tier_1_Exec,5000.0,2025-05-06 15:41:00,46.76,Bistro Hub,5812,,CLEAN,,
TXN_000020,EMP_187,Field Sales,APAC,Tier_1_Exec,5000.0,2025-09-29 12:03:00,50.77,NYC Transit,4111,,CLEAN,,
TXN_000021,EMP_210,HR & Recruitment,EMEA,Tier_2_Standard,3000.0,2025-09-04 09:23:00,95.66,Staples Corp,5999,,CLEAN,,
TXN_000022,EMP_405,Corporate Marketing,LATAM,Tier_2_Standard,3000.0,2025-09-01 16:25:00,19.77,Tokyo Dining Corp,5812,,CLEAN,,
TXN_000023,EMP_130,Field Sales,EMEA,Tier_1_Exec,5000.0,2025-04-20 11:57:00,50.9,Uber Inc,4111,,CLEAN,,
TXN_000024,EMP_299,Corporate Marketing,APAC,Tier_2_Standard,3000.0,2025-04-13 23:38:00,61.29,London Underground,4111,,CLEAN,,
TXN_000025,EMP_336,Field Sales,APAC,Tier_1_Exec,5000.0,2025-10-13 09:57:00,446.45,Marriott International,7011,,CLEAN,,
TXN_000026,EMP_417,Corporate Marketing,,Tier_2_Standard,3000.0,2025-04-04 01:21:00,119.92,Staples Corp,5999,,CLEAN,,
TXN_000027,EMP_331,Corporate Marketing,EMEA,Tier_2_Standard,3000.0,2025-11-05 07:33:00,37.95,Amazon Business,5999,,CLEAN,,
TXN_000028,EMP_010,Field Sales,APAC,Tier_1_Exec,5000.0,2025-09-22 00:51:00,81.99,Lyft Ride,4111,,CLEAN,,
TXN_000029,EMP_110,Field Sales,LATAM,Tier_1_Exec,5000.0,2025-09-06 20:12:00,245.12,GitHub Enterprise,4816,,CLEAN,,
TXN_000030,EMP_116,Software Engineering,EMEA,Tier_2_Standard,3000.0,2025-04-11 04:07:00,180.19,Marriott International,7011,,CLEAN,,
TXN_000031,EMP_339,Supply Chain,APAC,Tier_2_Standard,3000.0,2025-09-03 05:23:00,95.06,Office Depot,5999,,CLEAN,,
TXN_000032,EMP_306,HR & Recruitment,APAC,Tier_2_Standard,3000.0,2025-10-02 07:39:00,260.84,Hilton Hotels,7011,,CLEAN,,
TXN_000033,EMP_023,Field Sales,EMEA,Tier_1_Exec,5000.0,2025-10-27 04:16:00,19.11,Lyft Ride,4111,,CLEAN,,
TXN_000034,EMP_228,Software Engineering,LATAM,Tier_2_Standard,3000.0,2025-07-27 11:28:00,380.58,GitHub Enterprise,4816,,CLEAN,,
TXN_000035,EMP_274,Software Engineering,LATAM,Tier_2_Standard,3000.0,2025-06-24 03:46:00,145.19,NYC Transit,4111,,CLEAN,,
TXN_000036,EMP_428,Software Engineering,APAC,Tier_2_Standard,3000.0,2025-05-22 06:40:00,123.18,NYC Transit,4111,,CLEAN,,
TXN_000037,EMP_237,Field Sales,EMEA,Tier_1_Exec,5000.0,2025-07-25 04:19:00,135.75,Slack Technologies,4816,,CLEAN,,
TXN_000038,EMP_083,Supply Chain,LATAM,Tier_2_Standard,3000.0,2025-05-26 09:58:00,23.67,Office Depot,5999,,CLEAN,,
TXN_000039,EMP_447,Software Engineering,APAC,Tier_2_Standard,3000.0,2025-07-02 01:07:00,84.93,London Tavern,5812,,CLEAN,,
TXN_000040,EMP_146,Field Sales,EMEA,Tier_1_Exec,5000.0,2025-03-03 01:49:00,436.1,Business Stay Inn,7011,,CLEAN,,
TXN_000041,EMP_047,Travel & Executive Admin,,Tier_1_Exec,5000.0,2025-06-11 16:23:00,66.37,Figma Design,4816,,CLEAN,,
TXN_000042,EMP_014,Travel & Executive Admin,LATAM,Tier_1_Exec,5000.0,2025-10-30 02:50:00,54.43,London Tavern,5812,,CLEAN,,
TXN_000043,EMP_042,Corporate Marketing,LATAM,Tier_2_Standard,3000.0,2025-10-01 00:04:00,172.35,Marriott International,7011,,CLEAN,,
TXN_000044,EMP_406,Field Sales,EMEA,Tier_1_Exec,5000.0,2025-04-17 08:23:00,741.06,Marriott International,7011,,CLEAN,,
TXN_000045,EMP_389,HR & Recruitment,EMEA,Tier_2_Standard,3000.0,2025-12-08 14:17:00,118.34,AWS Cloud Services,4816,,CLEAN,,
TXN_000046,EMP_041,Software Engineering,APAC,Tier_2_Standard,3000.0,2025-01-14 20:07:00,102.75,Lyft Ride,4111,,CLEAN,,
TXN_000047,EMP_428,Software Engineering,APAC,Tier_2_Standard,3000.0,2025-04-19 21:02:00,53.64,Global Logistics Tech,5999,,FLAG_R5_CONTEXT_FAIL,Active travel itinerary found but MCC 5999 (Global Logistics Tech) is not a hospitality category — manual review required,
TXN_000048,EMP_057,Travel & Executive Admin,,Tier_1_Exec,5000.0,2025-07-29 18:56:00,488.04,Business Stay Inn,7011,,CLEAN,,
TXN_000049,EMP_328,Corporate Marketing,APAC,Tier_1_Exec,5000.0,2025-11-29 20:38:00,61.43,Local Steakhouse,5812,,CLEAN,,APPROVED_BY_TRAVEL_REGISTRY
TXN_000050,EMP_324,Field Sales,,Tier_1_Exec,5000.0,2025-06-26 04:10:00,270.16,Business Stay Inn,7011,,CLEAN,,
TXN_000051,EMP_293,Corporate Marketing,LATAM,Tier_2_Standard,3000.0,2025-10-31 08:02:00,780.23,Marriott International,7011,,CLEAN,,
TXN_000052,EMP_270,Field Sales,APAC,Tier_1_Exec,5000.0,2025-01-15 19:22:00,314.55,Slack Technologies,4816,,CLEAN,,
TXN_000053,EMP_023,Field Sales,EMEA,Tier_1_Exec,5000.0,2025-10-09 17:14:00,141.53,London Underground,4111,,CLEAN,,
TXN_000054,EMP_383,Supply Chain,LATAM,Tier_2_Standard,3000.0,2025-01-12 19:51:00,135.28,Uber Inc,4111,,CLEAN,,
TXN_000055,EMP_177,Corporate Marketing,EMEA,Tier_2_Standard,3000.0,2025-06-25 13:58:00,69.22,Tokyo Dining Corp,5812,,CLEAN,,
TXN_000056,EMP_417,Corporate Marketing,,Tier_2_Standard,3000.0,2025-05-08 11:54:00,370.31,Slack Technologies,4816,,CLEAN,,
TXN_000057,EMP_324,Field Sales,,Tier_1_Exec,5000.0,2025-05-13 17:32:00,207.52,Marriott International,7011,,CLEAN,,
TXN_000058,EMP_151,Corporate Marketing,APAC,Tier_2_Standard,3000.0,2025-05-27 19:03:00,24.18,Bistro Hub,5812,,CLEAN,,
TXN_000059,EMP_264,Field Sales,APAC,Tier_1_Exec,5000.0,2025-10-17 23:28:00,16.33,Global Logistics Tech,5999,,CLEAN,,
TXN_000060,EMP_130,Field Sales,EMEA,Tier_1_Exec,5000.0,2025-01-27 15:59:00,361.46,Business Stay Inn,7011,,CLEAN,,
TXN_000061,EMP_140,Software Engineering,APAC,Tier_2_Standard,3000.0,2025-04-01 15:21:00,64.41,NYC Transit,4111,,CLEAN,,
TXN_000062,EMP_205,Field Sales,,Tier_1_Exec,5000.0,2025-11-17 04:57:00,123.11,Figma Design,4816,,CLEAN,,
TXN_000063,EMP_096,Field Sales,APAC,Tier_1_Exec,5000.0,2025-12-28 07:46:00,334.92,Figma Design,4816,,CLEAN,,
TXN_000064,EMP_409,Software Engineering,APAC,Tier_2_Standard,3000.0,2025-07-14 05:16:00,38.68,London Tavern,5812,,CLEAN,,
TXN_000065,EMP_309,Software Engineering,LATAM,Tier_2_Standard,3000.0,2025-05-12 09:42:00,49.33,Amazon Business,5999,,CLEAN,,
TXN_000066,EMP_165,Field Sales,EMEA,Tier_1_Exec,5000.0,2025-03-16 17:01:00,60.86,Tokyo Dining Corp,5812,,CLEAN,,APPROVED_BY_TRAVEL_REGISTRY
TXN_000067,EMP_309,Software Engineering,LATAM,Tier_2_Standard,3000.0,2025-11-07 06:55:00,241.6,Euro Lodging,7011,,CLEAN,,
TXN_000068,EMP_315,Software Engineering,EMEA,Tier_2_Standard,3000.0,2025-11-13 17:08:00,122.31,Uber Inc,4111,,CLEAN,,
TXN_000069,EMP_039,Supply Chain,,Tier_2_Standard,3000.0,2025-10-23 19:02:00,20.44,Lyft Ride,4111,,CLEAN,,
TXN_000070,EMP_016,HR & Recruitment,APAC,Tier_2_Standard,3000.0,2025-04-14 23:15:00,148.16,Global Logistics Tech,5999,,CLEAN,,
TXN_000071,EMP_018,Software Engineering,,Tier_1_Exec,5000.0,2025-04-02 22:01:00,106.17,Bistro Hub,5812,,CLEAN,,
TXN_000072,EMP_197,Field Sales,,Tier_1_Exec,5000.0,2025-01-24 13:58:00,37.82,Office Depot,5999,,CLEAN,,
TXN_000073,EMP_348,Corporate Marketing,EMEA,Tier_2_Standard,3000.0,2025-11-24 14:58:00,10.77,London Underground,4111,,CLEAN,,
TXN_000074,EMP_228,Software Engineering,LATAM,Tier_2_Standard,3000.0,2025-02-25 23:40:00,124.16,Office Depot,5999,,CLEAN,,
TXN_000075,EMP_272,Corporate Marketing,APAC,Tier_2_Standard,3000.0,2025-09-25 04:54:00,288.61,Figma Design,4816,,CLEAN,,
TXN_000076,EMP_333,Field Sales,LATAM,Tier_1_Exec,5000.0,2025-07-22 22:27:00,623.85,Marriott International,7011,,CLEAN,,
TXN_000077,EMP_096,Field Sales,APAC,Tier_1_Exec,5000.0,2025-12-30 09:25:00,117.98,Global Logistics Tech,5999,,CLEAN,,
