Month,Total_Volume,Total_Spend,Leaked_Volume,Leaked_Spend,Volume_Leakage_Pct,Spend_Leakage_Pct
2025-01,1094,274138.65,79,76553.82,7.22,27.93
2025-02,1015,242470.74,82,71554.86,8.08,29.51
2025-03,1099,283874.51,97,84197.15,8.83,29.66
2025-04,1046,246457.75,83,59913.86,7.93,24.31
2025-05,1045,244538.35,84,67714.79,8.04,27.69
2025-06,1000,234002.76,69,39575.67,6.9,16.91
2025-07,1056,237971.14,73,52877.23,6.91,22.22
2025-08,1112,259793.79,79,58887.15,7.1,22.67
2025-09,1024,256181.62,62,58909.8,6.05,23.0
2025-10,1169,245103.26,81,46213.78,6.93,18.85
2025-11,1101,245699.67,71,44116.12,6.45,17.96
2025-12,1099,250816.76,89,71062.19,8.1,28.33
