Employee_ID,Department,Region,Total_Violations,Flagged_Spend_USD,Flag_Types
EMP_019,HR & Recruitment,LATAM,7,13509.92,"FLAG_R2_SPLIT,FLAG_R3_WEEKEND_OVERAGE,FLAG_R4_LIMIT_BREACH"
EMP_009,Field Sales,EMEA,5,12116.35,"FLAG_R5_CONTEXT_FAIL,FLAG_R1_BLACKLIST,FLAG_R3_WEEKEND_OVERAGE,FLAG_R4_LIMIT_BREACH"
EMP_406,Field Sales,EMEA,3,10884.28,"FLAG_R1_BLACKLIST,FLAG_R4_LIMIT_BREACH"
EMP_131,Field Sales,EMEA,4,10740.41,"FLAG_R2_SPLIT,FLAG_R4_LIMIT_BREACH,FLAG_R5_CONTEXT_FAIL"
EMP_370,Field Sales,LATAM,5,10735.11,"FLAG_R5_CONTEXT_FAIL,FLAG_R2_SPLIT,FLAG_R4_LIMIT_BREACH"
EMP_295,Field Sales,,4,10501.96,"FLAG_R1_BLACKLIST,FLAG_R2_SPLIT,FLAG_R4_LIMIT_BREACH"
EMP_384,Field Sales,,7,9074.79,"FLAG_R5_CONTEXT_FAIL,FLAG_R3_WEEKEND_OVERAGE,FLAG_R1_BLACKLIST,FLAG_R2_SPLIT"
EMP_194,Field Sales,APAC,8,8595.83,"FLAG_R3_WEEKEND_OVERAGE,FLAG_R5_CONTEXT_FAIL,FLAG_R1_BLACKLIST,FLAG_R4_LIMIT_BREACH"
EMP_175,Field Sales,,8,7390.24,"FLAG_R3_WEEKEND_OVERAGE,FLAG_R5_CONTEXT_FAIL,FLAG_R1_BLACKLIST,FLAG_R2_SPLIT"
EMP_028,Corporate Marketing,,7,7344.63,"FLAG_R1_BLACKLIST,FLAG_R3_WEEKEND_OVERAGE,FLAG_R4_LIMIT_BREACH,FLAG_R5_CONTEXT_FAIL"
EMP_031,Field Sales,APAC,6,7151.69,"FLAG_R3_WEEKEND_OVERAGE,FLAG_R5_CONTEXT_FAIL,FLAG_R1_BLACKLIST,FLAG_R4_LIMIT_BREACH"
EMP_098,Software Engineering,,5,6945.53,"FLAG_R1_BLACKLIST,FLAG_R5_CONTEXT_FAIL,FLAG_R4_LIMIT_BREACH"
EMP_059,Field Sales,EMEA,6,6819.83,"FLAG_R5_CONTEXT_FAIL,FLAG_R1_BLACKLIST,FLAG_R2_SPLIT"
EMP_214,Software Engineering,,5,6760.35,"FLAG_R5_CONTEXT_FAIL,FLAG_R2_SPLIT,FLAG_R4_LIMIT_BREACH"
EMP_011,Field Sales,LATAM,6,6683.55,"FLAG_R5_CONTEXT_FAIL,FLAG_R1_BLACKLIST,FLAG_R2_SPLIT,FLAG_R3_WEEKEND_OVERAGE"
