Region,Risk_Vector,Backlog_Tickets,SLA_Risk_Status
APAC,FLAG_R5_CONTEXT_FAIL,138,WITHIN_CAPACITY
,FLAG_R5_CONTEXT_FAIL,128,WITHIN_CAPACITY
LATAM,FLAG_R5_CONTEXT_FAIL,110,WITHIN_CAPACITY
EMEA,FLAG_R5_CONTEXT_FAIL,102,WITHIN_CAPACITY
APAC,FLAG_R1_BLACKLIST,48,WITHIN_CAPACITY
,FLAG_R3_WEEKEND_OVERAGE,42,WITHIN_CAPACITY
APAC,FLAG_R3_WEEKEND_OVERAGE,41,WITHIN_CAPACITY
EMEA,FLAG_R3_WEEKEND_OVERAGE,41,WITHIN_CAPACITY
EMEA,FLAG_R1_BLACKLIST,40,WITHIN_CAPACITY
,FLAG_R1_BLACKLIST,36,WITHIN_CAPACITY
LATAM,FLAG_R1_BLACKLIST,36,WITHIN_CAPACITY
LATAM,FLAG_R3_WEEKEND_OVERAGE,35,WITHIN_CAPACITY
LATAM,FLAG_R2_SPLIT,32,WITHIN_CAPACITY
,FLAG_R2_SPLIT,26,WITHIN_CAPACITY
EMEA,FLAG_R2_SPLIT,18,WITHIN_CAPACITY
,FLAG_R4_LIMIT_BREACH,16,WITHIN_CAPACITY
APAC,FLAG_R2_SPLIT,16,WITHIN_CAPACITY
EMEA,FLAG_R4_LIMIT_BREACH,16,WITHIN_CAPACITY
LATAM,FLAG_R4_LIMIT_BREACH,15,WITHIN_CAPACITY
APAC,FLAG_R4_LIMIT_BREACH,13,WITHIN_CAPACITY
