Employee_ID,Merchant_Name,Amount_USD,Transaction_Timestamp,Department,Region,System_Audit_Flag
EMP_011,AWS Cloud Services,2476.69,2025-04-23 21:21:00,Field Sales,LATAM,FLAG_R2_SPLIT
EMP_011,AWS Cloud Services,2555.22,2025-04-23 21:33:00,Field Sales,LATAM,FLAG_R2_SPLIT
EMP_019,AWS Cloud Services,1593.09,2025-01-22 05:52:00,HR & Recruitment,LATAM,FLAG_R2_SPLIT
EMP_019,AWS Cloud Services,1639.89,2025-01-22 06:04:00,HR & Recruitment,LATAM,FLAG_R2_SPLIT
EMP_019,AWS Cloud Services,1487.61,2025-07-06 02:39:00,HR & Recruitment,LATAM,FLAG_R2_SPLIT
EMP_019,AWS Cloud Services,1572.26,2025-07-06 02:51:00,HR & Recruitment,LATAM,FLAG_R2_SPLIT
EMP_029,AWS Cloud Services,1442.06,2025-12-21 14:13:00,Supply Chain,APAC,FLAG_R2_SPLIT
EMP_029,AWS Cloud Services,1622.06,2025-12-21 14:25:00,Supply Chain,APAC,FLAG_R2_SPLIT
EMP_036,AWS Cloud Services,1615.28,2025-03-20 16:00:00,HR & Recruitment,EMEA,FLAG_R2_SPLIT
EMP_036,AWS Cloud Services,1423.17,2025-03-20 16:12:00,HR & Recruitment,EMEA,FLAG_R2_SPLIT
EMP_038,AWS Cloud Services,1544.29,2025-03-13 09:24:00,Corporate Marketing,LATAM,FLAG_R2_SPLIT
EMP_038,AWS Cloud Services,1600.72,2025-03-13 09:36:00,Corporate Marketing,LATAM,FLAG_R2_SPLIT
EMP_051,AWS Cloud Services,2583.81,2025-10-05 12:58:00,Field Sales,LATAM,FLAG_R2_SPLIT
EMP_051,AWS Cloud Services,2656.11,2025-10-05 13:10:00,Field Sales,LATAM,FLAG_R2_SPLIT
EMP_059,AWS Cloud Services,2533.86,2025-05-19 04:54:00,Field Sales,EMEA,FLAG_R2_SPLIT
EMP_059,AWS Cloud Services,2613.46,2025-05-19 05:06:00,Field Sales,EMEA,FLAG_R2_SPLIT
EMP_069,AWS Cloud Services,1533.71,2025-05-11 03:46:00,Corporate Marketing,LATAM,FLAG_R2_SPLIT
EMP_069,AWS Cloud Services,1614.7,2025-05-11 03:58:00,Corporate Marketing,LATAM,FLAG_R2_SPLIT
EMP_084,AWS Cloud Services,2330.71,2025-08-22 02:07:00,Field Sales,,FLAG_R2_SPLIT
EMP_084,AWS Cloud Services,2679.17,2025-08-22 02:19:00,Field Sales,,FLAG_R2_SPLIT
EMP_105,AWS Cloud Services,2612.94,2025-04-28 21:09:00,Field Sales,,FLAG_R2_SPLIT
EMP_105,AWS Cloud Services,2731.84,2025-04-28 21:21:00,Field Sales,,FLAG_R2_SPLIT
EMP_107,AWS Cloud Services,1565.25,2025-01-29 17:53:00,Software Engineering,APAC,FLAG_R2_SPLIT
EMP_107,AWS Cloud Services,1487.09,2025-01-29 18:05:00,Software Engineering,APAC,FLAG_R2_SPLIT
EMP_115,AWS Cloud Services,2323.4,2025-09-02 09:08:00,Travel & Executive Admin,APAC,FLAG_R2_SPLIT
EMP_115,AWS Cloud Services,2699.76,2025-09-02 09:20:00,Travel & Executive Admin,APAC,FLAG_R2_SPLIT
EMP_121,AWS Cloud Services,2742.36,2025-01-02 15:48:00,HR & Recruitment,LATAM,FLAG_R2_SPLIT
EMP_121,AWS Cloud Services,2506.33,2025-01-02 16:00:00,HR & Recruitment,LATAM,FLAG_R2_SPLIT
EMP_131,AWS Cloud Services,2507.0,2025-12-29 04:14:00,Field Sales,EMEA,FLAG_R2_SPLIT
EMP_131,AWS Cloud Services,2673.17,2025-12-29 04:26:00,Field Sales,EMEA,FLAG_R2_SPLIT
EMP_139,AWS Cloud Services,1557.08,2025-02-13 02:48:00,Corporate Marketing,,FLAG_R2_SPLIT
EMP_139,AWS Cloud Services,1527.79,2025-02-13 03:00:00,Corporate Marketing,,FLAG_R2_SPLIT
EMP_146,AWS Cloud Services,2432.99,2025-05-09 14:14:00,Field Sales,EMEA,FLAG_R2_SPLIT
EMP_146,AWS Cloud Services,2622.44,2025-05-09 14:26:00,Field Sales,EMEA,FLAG_R2_SPLIT
EMP_152,AWS Cloud Services,1622.5,2025-12-26 17:07:00,Corporate Marketing,EMEA,FLAG_R2_SPLIT
EMP_152,AWS Cloud Services,1422.39,2025-12-26 17:19:00,Corporate Marketing,EMEA,FLAG_R2_SPLIT
EMP_156,AWS Cloud Services,1454.38,2025-10-09 09:09:00,Software Engineering,EMEA,FLAG_R2_SPLIT
EMP_156,AWS Cloud Services,1597.86,2025-10-09 09:21:00,Software Engineering,EMEA,FLAG_R2_SPLIT
EMP_161,AWS Cloud Services,1471.92,2025-09-16 05:35:00,Corporate Marketing,LATAM,FLAG_R2_SPLIT
EMP_161,AWS Cloud Services,1626.97,2025-09-16 05:47:00,Corporate Marketing,LATAM,FLAG_R2_SPLIT
